연번,발생일자,사고유형,발생역,발생시간,비고
1,2024-12-24,출입문관련,잠실새내역,13:40:00,
2,2024-12-21,출입문관련,고속터미널(3)역,11:26:00,
3,2024-12-18,출입문관련,장지역,06:26:00,
4,2024-12-18,출입문관련,동대문역사문화공원(4)역,15:29:00,
5,2024-12-16,출입문관련,강동역,18:46:00,
6,2024-12-14,역구내 사고,철산역,20:51:00,
7,2024-12-13,역구내 사고,잠원역,22:05:00,
8,2024-12-12,열차내 사고,자양역,08:25:00,
9,2024-12-11,발빠짐,합정(6)역,08:46:00,
10,2024-12-08,출입문관련,청담역,11:08:00,
11,2024-12-07,승강설비관련,시청(2)역,20:16:00,
12,2024-12-06,역구내 사고,월곡역,14:10:00,
13,2024-12-05,출입문관련,답십리역,11:18:00,
14,2024-12-04,출입문관련,동대문(4)역,11:28:00,
15,2024-12-03,출입문관련,고속터미널(3)역,15:10:00,
16,2024-12-02,열차내 사고,을지로입구역,11:14:00,
17,2024-12-01,발빠짐,발산역,22:23:00,
18,2024-11-29,승강설비관련,삼성역,09:33:00,
19,2024-11-29,승강설비관련,노원(4)역,11:31:00,
20,2024-11-28,출입문관련,불광(3)역,13:03:00,
21,2024-11-28,역구내 사고,한성대입구역,11:43:00,
22,2024-11-27,승강설비관련,몽촌토성역,08:16:00,
23,2024-11-25,발빠짐,고속터미널(7)역,12:59:00,
24,2024-11-23,출입문관련,송파역,10:13:00,
25,2024-11-23,발빠짐,철산역,09:09:00,
26,2024-11-22,발빠짐,철산역,09:27:00,
27,2024-11-21,열차내 사고,마곡역,14:32:00,
28,2024-11-20,발빠짐,합정(6)역,08:06:00,
29,2024-11-19,역구내 사고,동대문(4)역,12:30:00,
30,2024-11-17,출입문관련,중앙역,15:57:00,
31,2024-11-16,출입문관련,미아역,11:38:00,
32,2024-11-15,열차내 사고,구로디지털단지역,17:50:00,
33,2024-11-15,열차내 사고,구로디지털단지역,17:50:00,
34,2024-11-14,출입문관련,천호(5)역,08:38:00,
35,2024-11-12,출입문관련,미아사거리역,21:29:00,
36,2024-11-12,출입문관련,길동역,18:50:00,
37,2024-11-12,열차내 사고,삼성역,09:10:00,
38,2024-11-09,승강설비관련,고속터미널(3)역,18:07:00,
39,2024-11-08,출입문관련,서울대입구역,08:26:00,
40,2024-11-08,열차내 사고,까치산(5)역,20:52:00,
41,2024-11-05,승강설비관련,까치산(5)역,14:56:00,
42,2024-11-04,역구내 사고,문래역,13:35:00,
43,2024-11-03,역구내 사고,오금(5)역,12:06:00,
44,2024-11-02,발빠짐,수서역,11:31:00,
45,2024-11-01,역구내 사고,이대역,07:36:00,
46,2024-10-31,출입문관련,사당(4)역,16:57:00,
47,2024-10-31,열차내 사고,장암역,08:38:00,
